case_id,keydate,Target90Days,TargetAmount90Days,OriginalCapitalOfCaseInvoices,IndustryCode,ClientName,NumberOfUnsuccessfullyClosedCustomerCasesLast36Months,AmountOfAmountOfCustomerPaymentsOnAllCasesBlevelase,AmountOfCustomerOpenCases,NumberOfTelephonesCI,RatioOfCustomersAtAddressWithSuccessfullyClosedCasesLast36Months,AgeOfDebt,NumberOfCustomerIncomingCallDatesTee,CustomerAge,NumberOfCustomerPaymentsInLast12Months,LastOriginalClosingCodeOfCustomer,NumberOfSuccessfullyClosedCasesInLast24Months,AmountOfCase
12,2017-02-18 00:00:00.0,0.0,0.0,321.96,K6512,5,,,240.04,1.0,,140.0,0.0,32.0,,4,,350.85
13,2017-08-12 00:00:00.0,1.0,1680.08,1680.08,K6512,11,,,57.3,3.0,,64.0,0.0,31.0,,5,,1695.08
14,2017-05-25 00:00:00.0,0.0,0.0,1303.13,K6622,12,,308.4,0.0,3.0,0.0,14.0,1.0,64.0,0.0,6,1.0,1353.13
15,2017-08-20 00:00:00.0,1.0,268.86,248.73,K6512,5,,,348.1,2.0,,141.0,0.0,53.0,,4,,268.86
16,2017-01-21 00:00:00.0,0.0,0.0,131.95,K6512,2,,,1478.31,2.0,0.0,103.0,0.0,55.0,,4,,193.31
17,2017-07-27 00:00:00.0,1.0,144.25,136.25,K6512,13,,224.29,0.0,2.0,0.33,91.0,0.0,45.0,0.0,7,0.0,144.25
18,2017-04-06 00:00:00.0,1.0,250.57,840.7,K6512,6,,763.66,0.0,3.0,0.0,214.0,0.0,63.0,0.0,8,0.0,501.14
19,2017-07-13 00:00:00.0,0.0,0.0,0.0,K6512,6,2.0,,2121.97,3.0,0.0,4.0,0.0,25.0,,1,,268.51
20,2017-05-27 00:00:00.0,0.0,0.0,382.9,K6499,14,,,533.5,4.0,0.29,295.0,0.0,26.0,,4,,432.97
21,2017-09-03 00:00:00.0,0.0,0.0,60.0,K6622,15,2.0,,0.0,4.0,0.0,4.0,1.0,49.0,,1,,71.0
22,2017-05-25 00:00:00.0,0.0,0.0,59.37,K6619,16,0.0,,0.0,3.0,,4.0,0.0,46.0,,1,,59.37
23,2017-07-21 00:00:00.0,0.0,0.0,560.46,K6622,12,2.0,,0.0,0.0,0.37,10.0,0.0,23.0,,3,,610.46
24,2017-06-23 00:00:00.0,0.0,0.0,100.0,K6512,5,1.0,80.81,4172.4,4.0,0.28,357.0,6.0,45.0,0.0,1,,120.24
25,2017-03-31 00:00:00.0,0.0,0.0,292.72,K6512,11,2.0,16.53,0.0,4.0,,94.0,0.0,52.0,0.0,1,,307.72
26,2017-05-07 00:00:00.0,0.0,0.0,64.9,K6622,17,,,22.71,1.0,,88.0,0.0,34.0,,4,,124.9
27,2017-05-05 00:00:00.0,0.0,0.0,1152.6,K6619,18,2.0,14.16,0.0,3.0,,4.0,0.0,23.0,0.0,1,,1152.6
28,2017-06-23 00:00:00.0,0.0,0.0,917.48,K6512,6,,,1005.08,1.0,,4.0,0.0,23.0,,4,,1005.48
29,2017-06-15 00:00:00.0,0.0,0.0,159.55,K6512,10,,310.32,0.0,2.0,,160.0,0.0,,0.0,5,,180.03
30,2017-08-20 00:00:00.0,0.0,0.0,334.82,K6622,12,,98.0,548.49,2.0,0.09,75.0,2.0,36.0,0.0,7,0.0,384.82
31,2017-08-25 00:00:00.0,0.0,0.0,0.0,K6512,6,,,24.88,3.0,,4.0,0.0,22.0,,4,,1171.55
32,2017-05-25 00:00:00.0,0.0,0.0,366.62,K6512,19,2.0,33.28,195.55,4.0,,108.0,0.0,53.0,0.0,1,,442.62
33,2017-04-22 00:00:00.0,0.0,0.0,128.84,K6622,12,1.0,169.59,0.0,5.0,,116.0,0.0,37.0,1.0,8,1.0,178.84
34,2017-07-22 00:00:00.0,1.0,1166.96,1116.96,K6622,4,1.0,,0.0,4.0,0.0,313.0,0.0,52.0,,1,,1166.96
35,2017-02-04 00:00:00.0,0.0,0.0,440.6,K6622,17,1.0,527.87,385.86,1.0,0.4,90.0,0.0,29.0,1.0,6,1.0,500.6
36,2017-05-20 00:00:00.0,0.0,0.0,119.83,K6511,20,,,1129.06,1.0,,9.0,0.0,55.0,,4,,169.83
37,2017-04-22 00:00:00.0,0.0,0.0,163.35,K6622,21,,100.0,805.38,2.0,0.0,12.0,0.0,49.0,1.0,5,,213.35
38,2017-06-22 00:00:00.0,0.0,0.0,3263.66,K6622,22,2.0,152.89,1206.43,6.0,0.0,76.0,0.0,43.0,0.0,9,1.0,3313.66
39,2017-03-24 00:00:00.0,0.0,0.0,1695.06,K6499,23,,158.68,1695.06,5.0,0.12,3966.0,0.0,52.0,0.0,5,,1695.06
40,2017-04-14 00:00:00.0,1.0,15.24,188.76,K6622,24,,167.57,0.0,1.0,,103.0,1.0,,1.0,2,1.0,204.0
41,2017-08-19 00:00:00.0,0.0,0.0,196.01,K6419,25,1.0,,0.0,0.0,1.0,6.0,0.0,28.0,,1,,196.2
42,2017-09-24 00:00:00.0,0.0,0.0,183.93,K6512,2,2.0,,10671.15,5.0,0.13,104.0,0.0,49.0,,1,,245.27
43,2017-02-04 00:00:00.0,0.0,0.0,1192.9,K6622,17,,,1544.25,4.0,,81.0,0.0,46.0,,10,,1252.9
44,2017-03-13 00:00:00.0,0.0,0.0,108.66,K6512,10,,210.83,0.0,1.0,,437.0,0.0,37.0,0.0,8,1.0,128.9
45,2017-02-10 00:00:00.0,0.0,0.0,105.0,K6512,26,1.0,,0.0,1.0,0.5,149.0,0.0,39.0,,3,,258.0
46,2017-06-12 00:00:00.0,0.0,0.0,682.07,K6512,2,,,240.57,2.0,,105.0,0.0,23.0,,4,,760.48
47,2017-06-22 00:00:00.0,0.0,0.0,341.22,K6622,12,1.0,,0.0,1.0,0.0,12.0,0.0,27.0,,1,,1178.43
48,2017-03-25 00:00:00.0,0.0,0.0,145.59,K6622,12,2.0,80.0,0.0,2.0,0.13,12.0,0.0,72.0,0.0,1,,195.59
49,2017-02-06 00:00:00.0,0.0,0.0,15.07,K6622,12,,,325.58,2.0,0.18,90.0,0.0,36.0,,4,,80.14
50,2017-02-18 00:00:00.0,0.0,0.0,193.12,K6512,10,,253.25,113.16,1.0,,130.0,2.0,62.0,1.0,7,1.0,213.47
51,2017-04-13 00:00:00.0,0.0,0.0,2066.45,K6512,2,1.0,,0.0,1.0,1.0,102.0,0.0,35.0,,1,,2150.4
52,2017-02-24 00:00:00.0,0.0,0.0,393.97,K6512,10,,125.0,552.6,2.0,0.0,420.0,0.0,55.0,0.0,6,1.0,422.98
53,2017-05-22 00:00:00.0,0.0,0.0,143.24,K6512,27,2.0,,186.35,4.0,0.5,4.0,0.0,26.0,,1,,143.24
54,2017-03-27 00:00:00.0,0.0,0.0,443.12,K6622,28,2.0,1746.81,749.44,11.0,0.13,67.0,3.0,36.0,0.0,1,1.0,534.69
55,2017-02-11 00:00:00.0,0.0,0.0,666.82,K6622,29,2.0,,614.89,3.0,0.45,106.0,1.0,45.0,,1,,696.81
56,2017-05-08 00:00:00.0,1.0,78.26,78.26,K6619,30,,30.71,0.0,3.0,,4.0,0.0,30.0,0.0,6,1.0,78.26
57,2017-04-13 00:00:00.0,0.0,0.0,249.39,K6512,3,1.0,,0.0,2.0,,75.0,0.0,30.0,,3,,257.39
58,2017-01-09 00:00:00.0,0.0,0.0,424.58,K6512,27,,,1328.58,2.0,0.17,4.0,0.0,47.0,,4,,424.58
59,2017-09-18 00:00:00.0,0.0,0.0,1049.5,K6622,12,1.0,,31.98,4.0,0.0,69.0,0.0,43.0,,1,,1755.1
60,2017-03-12 00:00:00.0,0.0,0.0,709.04,K6512,2,1.0,,0.0,4.0,0.0,97.0,0.0,40.0,,1,,1271.02
61,2017-04-17 00:00:00.0,0.0,0.0,7685.68,K6419,25,1.0,,0.0,2.0,,5.0,0.0,28.0,,11,,7699.53
62,2017-04-13 00:00:00.0,0.0,0.0,0.0,K6512,6,1.0,,0.0,3.0,,4.0,1.0,31.0,,11,,1254.88
63,2017-09-14 00:00:00.0,1.0,300.0,1439.25,K6512,2,,152.13,0.0,3.0,,132.0,0.0,26.0,1.0,12,1.0,1517.19
64,2017-05-19 00:00:00.0,0.0,0.0,233.75,K6512,10,1.0,,0.0,2.0,,166.0,0.0,49.0,,1,,254.42
65,2017-08-20 00:00:00.0,1.0,280.0,681.89,K6622,7,2.0,58.0,0.0,2.0,0.0,73.0,0.0,48.0,0.0,13,2.0,731.89
66,2017-09-01 00:00:00.0,0.0,0.0,1246.39,K6512,6,,,219.38,2.0,0.0,4.0,0.0,22.0,,4,,1334.39
67,2017-05-20 00:00:00.0,0.0,0.0,625.3,K6622,22,1.0,,0.0,3.0,0.3,9.0,0.0,56.0,,1,,675.3
68,2017-06-22 00:00:00.0,0.0,0.0,1157.77,K6622,12,2.0,116.59,197.64,3.0,0.47,12.0,1.0,48.0,0.0,9,,1307.77
69,2017-08-12 00:00:00.0,0.0,0.0,295.72,K6512,2,3.0,,1799.73,9.0,1.0,102.0,0.0,39.0,,1,,397.11
70,2017-09-18 00:00:00.0,0.0,0.0,115.64,K6622,12,,71.13,0.0,4.0,0.0,75.0,0.0,45.0,1.0,8,1.0,165.64
71,2017-04-08 00:00:00.0,0.0,0.0,3425.0,K6512,31,0.0,,0.0,1.0,0.33,411.0,0.0,61.0,,1,,3425.0
72,2017-05-14 00:00:00.0,0.0,0.0,727.0,K6512,19,,239.09,0.0,0.0,1.0,104.0,0.0,,1.0,8,1.0,803.0
73,2017-09-18 00:00:00.0,0.0,0.0,452.83,K6622,12,,284.34,163.42,2.0,,8.0,0.0,58.0,1.0,6,1.0,552.83
74,2017-08-20 00:00:00.0,0.0,0.0,142.67,K6622,12,,63.08,835.53,0.0,0.0,10.0,0.0,23.0,0.0,6,1.0,192.67
75,2017-08-19 00:00:00.0,0.0,0.0,86.81,K6619,32,,,1483.72,3.0,,4.0,0.0,32.0,,4,,86.81
76,2017-03-25 00:00:00.0,0.0,0.0,422.57,K6622,7,1.0,,853.4,4.0,0.2,12.0,0.0,45.0,,1,,472.57
77,2017-02-02 00:00:00.0,0.0,0.0,1291.61,K6512,33,2.0,20.97,0.0,8.0,,115.0,0.0,36.0,0.0,3,,1291.61
78,2017-06-22 00:00:00.0,0.0,0.0,111.41,K6622,4,1.0,291.95,1472.38,5.0,,76.0,1.0,42.0,0.0,1,0.0,161.41
79,2017-09-18 00:00:00.0,0.0,0.0,159.86,K6622,7,,,101.97,1.0,0.5,69.0,0.0,41.0,,4,,209.86
80,2017-07-09 00:00:00.0,0.0,0.0,3056.43,K6512,34,,,194.31,4.0,0.0,759.0,0.0,,,4,,3056.43
81,2017-08-26 00:00:00.0,0.0,0.0,794.51,K6512,2,2.0,,0.0,4.0,0.0,134.0,0.0,66.0,,1,,872.65
82,2017-03-25 00:00:00.0,1.0,309.7,284.7,K6622,12,,116.33,540.0,2.0,,74.0,0.0,29.0,1.0,4,,697.66
83,2017-04-27 00:00:00.0,0.0,0.0,1096.7,K6622,28,,,528.78,2.0,,69.0,0.0,32.0,,4,,1323.75
84,2017-03-23 00:00:00.0,0.0,0.0,291.97,K6512,2,,40.4,0.0,2.0,,108.0,0.0,79.0,0.0,7,0.0,368.65
85,2017-05-15 00:00:00.0,1.0,350.0,350.0,K6622,35,1.0,158.48,0.0,2.0,0.0,107.0,0.0,36.0,0.0,9,,350.0
86,2017-09-18 00:00:00.0,1.0,175.11,175.11,K6512,13,,15.02,0.0,2.0,0.33,81.0,0.0,46.0,0.0,6,1.0,183.11
87,2017-01-26 00:00:00.0,0.0,0.0,1382.2,K6419,36,1.0,,44.12,3.0,0.0,7.0,0.0,39.0,,1,,1385.94
88,2017-08-07 00:00:00.0,0.0,0.0,557.0,K6622,15,1.0,220.52,0.0,2.0,0.15,5.0,0.0,27.0,4.0,9,,569.01
89,2017-01-01 00:00:00.0,0.0,0.0,199.09,K6512,10,,300.0,0.0,2.0,0.21,130.0,1.0,,0.0,7,0.0,219.35
90,2017-02-23 00:00:00.0,0.0,0.0,519.37,K6512,2,6.0,662.01,1590.2,4.0,,101.0,4.0,23.0,1.0,3,,597.92
91,2017-09-03 00:00:00.0,0.0,0.0,180.1,K6622,24,2.0,,0.0,4.0,,70.0,0.0,,,1,,195.34
92,2017-03-31 00:00:00.0,0.0,0.0,636.72,K6499,23,1.0,921.96,0.0,2.0,,1005.0,2.0,27.0,0.0,1,1.0,636.72
93,2017-04-07 00:00:00.0,0.0,0.0,158.55,K6512,10,,24.57,0.0,1.0,,462.0,1.0,49.0,0.0,8,1.0,178.95
94,2017-07-24 00:00:00.0,1.0,90.0,631.8,K6622,37,,640.58,0.0,4.0,,66.0,0.0,66.0,0.0,7,1.0,758.16
95,2017-09-02 00:00:00.0,1.0,20.0,266.84,K6419,38,3.0,454.33,68.9,5.0,0.0,4.0,6.0,65.0,3.0,13,1.0,452.44
96,2017-06-22 00:00:00.0,0.0,0.0,883.56,K6622,12,2.0,,0.0,1.0,1.0,12.0,0.0,29.0,,9,,1185.99
97,2017-07-15 00:00:00.0,0.0,0.0,4172.23,K6419,25,1.0,,1699.53,2.0,0.25,5.0,0.0,25.0,,11,,4179.88
98,2017-08-28 00:00:00.0,1.0,124.74,124.74,K6512,39,1.0,100.0,199.38,3.0,0.5,119.0,1.0,,1.0,1,,124.74
99,2017-05-25 00:00:00.0,0.0,0.0,486.15,K6622,12,2.0,186.26,0.0,5.0,0.5,14.0,0.0,32.0,1.0,9,1.0,536.15
100,2017-04-22 00:00:00.0,0.0,0.0,1187.62,K6622,12,0.0,775.51,0.0,11.0,0.0,74.0,3.0,33.0,1.0,7,2.0,1237.62
101,2017-02-06 00:00:00.0,0.0,0.0,1391.36,K6512,38,1.0,,378.02,8.0,0.07,4.0,0.0,30.0,,1,,1847.01
102,2017-08-20 00:00:00.0,0.0,0.0,252.29,K6622,12,,408.42,0.0,1.0,,10.0,0.0,40.0,1.0,8,1.0,302.29
103,2017-07-21 00:00:00.0,0.0,0.0,1098.77,K6622,22,1.0,,0.0,1.0,0.29,10.0,0.0,28.0,,9,,1148.77
104,2017-07-13 00:00:00.0,0.0,0.0,1058.49,K6419,40,1.0,65.54,0.0,4.0,0.0,7.0,0.0,27.0,0.0,1,,1059.68
105,2017-03-27 00:00:00.0,0.0,0.0,10654.85,K6419,41,,,316.74,1.0,,5.0,0.0,44.0,,4,,10654.85
106,2017-01-02 00:00:00.0,0.0,0.0,621.4,K6512,38,,,234.0,5.0,,4.0,0.0,21.0,,4,,693.4
107,2017-09-09 00:00:00.0,0.0,0.0,657.66,K6512,11,,,145.3,3.0,0.5,64.0,0.0,31.0,,4,,672.66
108,2017-04-17 00:00:00.0,0.0,0.0,203.94,K6512,10,1.0,69.07,0.0,2.0,1.0,166.0,1.0,30.0,1.0,1,1.0,224.28
109,2017-04-13 00:00:00.0,0.0,0.0,462.3,K6512,11,0.0,,0.0,3.0,0.08,61.0,0.0,,,1,,477.3
110,2017-04-13 00:00:00.0,0.0,0.0,615.23,K6512,2,1.0,1405.24,0.0,2.0,0.0,108.0,1.0,49.0,2.0,1,,693.51
111,2017-06-01 00:00:00.0,0.0,0.0,104.99,K6512,42,1.0,,0.0,2.0,,128.0,0.0,62.0,,1,,104.99
112,2017-02-27 00:00:00.0,1.0,141.12,336.67,K6512,39,,48.48,0.0,1.0,0.2,179.0,0.0,,1.0,8,1.0,336.67
113,2017-08-20 00:00:00.0,0.0,0.0,99.02,K6512,5,,352.0,295.97,2.0,,231.0,0.0,40.0,0.0,5,,119.27
114,2017-07-21 00:00:00.0,0.0,0.0,365.6,K6512,6,2.0,,0.0,5.0,0.0,94.0,0.0,63.0,,1,,908.74
115,2017-01-21 00:00:00.0,0.0,0.0,876.0,K6622,43,1.0,,0.0,2.0,,103.0,0.0,44.0,,1,,903.0
116,2017-04-22 00:00:00.0,0.0,0.0,393.27,K6622,12,1.0,,0.0,2.0,0.0,12.0,0.0,26.0,,1,,493.27
117,2017-02-24 00:00:00.0,0.0,0.0,588.59,K6622,28,1.0,,1432.63,6.0,0.0,66.0,1.0,57.0,,1,,711.68
118,2017-05-25 00:00:00.0,0.0,0.0,230.41,K6622,12,1.0,,729.83,1.0,0.52,120.0,0.0,65.0,,9,,280.41
119,2017-02-27 00:00:00.0,0.0,0.0,162.95,K6512,33,,,81.54,4.0,0.41,241.0,0.0,,,4,,162.95
120,2017-05-07 00:00:00.0,1.0,72.29,904.74,K6512,10,,351.96,0.0,2.0,,487.0,0.0,30.0,1.0,8,1.0,342.34
121,2017-05-13 00:00:00.0,0.0,0.0,700.0,K6512,44,1.0,,0.0,0.0,,1391.0,0.0,,,1,,700.0
122,2017-03-23 00:00:00.0,1.0,88.72,0.0,K6512,6,,177.75,0.0,1.0,,4.0,0.0,47.0,1.0,7,1.0,484.55
123,2017-02-23 00:00:00.0,0.0,0.0,169.95,K6512,5,1.0,,0.0,3.0,0.0,267.0,0.0,47.0,,1,,190.29
124,2017-09-10 00:00:00.0,0.0,0.0,197.69,K6512,10,1.0,388.98,797.69,4.0,,162.0,3.0,33.0,0.0,5,0.0,217.86
125,2017-05-20 00:00:00.0,0.0,0.0,659.03,K6512,45,,,478.84,3.0,0.25,323.0,0.0,47.0,,4,,659.03
126,2017-08-12 00:00:00.0,1.0,146.79,425.36,K6512,11,1.0,386.34,250.0,6.0,0.0,46.0,5.0,53.0,5.0,7,1.0,440.36
127,2017-06-23 00:00:00.0,0.0,0.0,123.82,K6512,6,,56.7,12.43,2.0,0.6,4.0,0.0,65.0,1.0,4,,184.82
128,2017-03-25 00:00:00.0,1.0,1143.12,1043.12,K6622,12,,1640.51,116.05,3.0,,74.0,4.0,39.0,2.0,7,1.0,1143.12
129,2017-02-06 00:00:00.0,0.0,0.0,678.37,K6622,22,,,1339.11,7.0,0.0,27.0,0.0,32.0,,4,,728.37
130,2017-06-12 00:00:00.0,0.0,0.0,283.51,K6619,18,1.0,120.0,668.0,4.0,0.25,4.0,1.0,50.0,0.0,1,,283.51
131,2017-03-19 00:00:00.0,0.0,0.0,1963.13,K6419,40,,266.7,0.0,1.0,0.25,5.0,0.0,29.0,0.0,6,1.0,1966.43
132,2017-06-24 00:00:00.0,0.0,0.0,75.9,K6512,2,,326.29,0.0,2.0,0.15,103.0,2.0,37.0,1.0,7,1.0,137.29
133,2017-04-14 00:00:00.0,0.0,0.0,69.63,K6512,9,,,337.09,3.0,0.0,195.0,0.0,20.0,,4,,94.87
134,2017-04-22 00:00:00.0,0.0,0.0,572.81,K6622,46,,,851.85,2.0,0.5,142.0,0.0,52.0,,4,,572.81
135,2017-09-18 00:00:00.0,0.0,0.0,1279.37,K6622,12,2.0,,1753.83,5.0,0.33,8.0,0.0,40.0,,9,,1329.37
136,2017-03-16 00:00:00.0,0.0,0.0,141.29,K6512,3,2.0,,0.0,5.0,0.33,454.0,0.0,47.0,,1,,149.29
137,2017-08-14 00:00:00.0,1.0,46.41,46.41,K6512,47,1.0,,0.0,2.0,0.3,59.0,0.0,,,1,,46.41
138,2017-05-07 00:00:00.0,0.0,0.0,398.81,K6512,10,,74.54,0.0,2.0,0.0,126.0,0.0,,1.0,2,1.0,427.09
139,2017-09-29 00:00:00.0,0.0,0.0,5328.64,K6419,48,5.0,90.0,49274.67,5.0,,28.0,4.0,30.0,0.0,14,,5345.24
140,2017-09-01 00:00:00.0,0.0,0.0,1650.25,K6512,6,1.0,,754.73,1.0,0.0,4.0,0.0,37.0,,9,,1738.25
141,2017-09-17 00:00:00.0,1.0,68.54,137.07,K6512,49,,405.6,0.0,3.0,,78.0,0.0,,1.0,7,1.0,137.07
142,2017-03-04 00:00:00.0,0.0,0.0,288.7,K6512,19,,337.31,0.0,1.0,0.33,103.0,3.0,35.0,0.0,7,0.0,364.7
143,2017-09-28 00:00:00.0,0.0,0.0,49.0,K6420,50,,,0.0,4.0,0.0,510.0,0.0,,,5,,49.0
144,2017-06-11 00:00:00.0,0.0,0.0,0.0,K6512,6,1.0,136.41,0.0,5.0,0.0,4.0,1.0,52.0,0.0,1,0.0,375.62
145,2017-06-22 00:00:00.0,0.0,0.0,1206.11,K6622,12,1.0,,0.0,2.0,,12.0,0.0,51.0,,1,,1306.11
146,2017-09-30 00:00:00.0,0.0,0.0,1846.82,K6419,51,,23.0,0.0,2.0,0.0,4.0,0.0,38.0,0.0,6,0.0,1854.34
147,2017-05-08 00:00:00.0,0.0,0.0,383.06,K6512,52,1.0,,0.0,3.0,0.0,4.0,0.0,70.0,,5,,383.06
148,2017-03-03 00:00:00.0,0.0,0.0,98.64,K6512,53,,173.08,0.0,4.0,,74.0,1.0,44.0,0.0,5,,98.64
149,2017-07-21 00:00:00.0,0.0,0.0,120.05,K6622,4,,172.45,768.84,2.0,,10.0,0.0,43.0,1.0,6,1.0,170.05
150,2017-01-01 00:00:00.0,0.0,0.0,843.07,K6512,19,,,141.56,1.0,0.2,104.0,0.0,,,4,,931.07
151,2017-06-03 00:00:00.0,0.0,0.0,1704.89,K6512,2,2.0,406.85,0.0,6.0,0.33,109.0,0.0,29.0,1.0,1,0.0,1798.84
152,2017-02-06 00:00:00.0,0.0,0.0,423.27,K6622,12,3.0,,0.0,3.0,,27.0,0.0,39.0,,1,,473.27
153,2017-03-25 00:00:00.0,0.0,0.0,94.43,K6622,4,,,756.51,2.0,0.33,75.0,0.0,28.0,,4,,144.43
154,2017-06-24 00:00:00.0,0.0,0.0,78.14,K6512,19,,43.0,2134.67,1.0,0.0,103.0,3.0,62.0,1.0,4,,139.14
155,2017-03-05 00:00:00.0,0.0,0.0,816.28,K6512,54,,563.55,0.0,2.0,,76.0,0.0,24.0,0.0,7,1.0,816.28
156,2017-04-24 00:00:00.0,0.0,0.0,1193.14,K6512,19,,,310.78,0.0,1.0,98.0,0.0,52.0,,4,,1281.14
157,2017-06-03 00:00:00.0,0.0,0.0,747.5,K6512,2,1.0,1107.37,0.0,1.0,1.0,89.0,0.0,44.0,1.0,8,2.0,825.98
158,2017-06-22 00:00:00.0,0.0,0.0,1205.29,K6622,12,1.0,200.0,1327.42,1.0,,12.0,0.0,43.0,2.0,1,,1355.29
159,2017-09-18 00:00:00.0,1.0,475.2,777.0,K6512,11,1.0,22.01,0.0,4.0,0.4,53.0,0.0,,1.0,2,1.0,792.0
160,2017-06-01 00:00:00.0,0.0,0.0,246.0,K6622,15,1.0,,0.0,1.0,0.33,6.0,0.0,38.0,,1,,246.82
161,2017-04-13 00:00:00.0,1.0,99.27,0.0,K6512,6,1.0,52.87,0.0,4.0,,4.0,3.0,28.0,0.0,11,1.0,114.27
162,2017-07-21 00:00:00.0,1.0,161.04,85.04,K6512,6,,1091.9,0.0,3.0,,53.0,5.0,53.0,0.0,12,0.0,161.04
163,2017-02-23 00:00:00.0,0.0,0.0,478.08,K6622,7,1.0,,721.75,6.0,0.0,13.0,0.0,49.0,,1,,528.08
164,2017-02-06 00:00:00.0,0.0,0.0,56.1,K6622,7,,149.13,1604.89,2.0,,89.0,0.0,33.0,1.0,4,,106.1
165,2017-05-08 00:00:00.0,0.0,0.0,85.76,K6619,32,1.0,43.37,334.71,3.0,,4.0,0.0,30.0,0.0,7,1.0,85.76
166,2017-06-11 00:00:00.0,0.0,0.0,845.13,K6512,10,1.0,,2094.14,2.0,0.5,129.0,0.0,31.0,,10,,876.04
167,2017-03-18 00:00:00.0,0.0,0.0,1566.95,K6512,38,1.0,,0.0,4.0,,4.0,0.0,65.0,,1,,2071.86
168,2017-04-22 00:00:00.0,0.0,0.0,89.24,K6622,4,1.0,50.43,0.0,5.0,,107.0,0.0,74.0,0.0,1,,139.24
169,2017-07-09 00:00:00.0,0.0,0.0,108.58,K6512,49,,,127.61,1.0,1.0,99.0,0.0,,,4,,108.58
170,2017-05-25 00:00:00.0,0.0,0.0,119.83,K6622,12,,,153.59,3.0,,14.0,0.0,58.0,,4,,169.83
171,2017-03-23 00:00:00.0,0.0,0.0,210.94,K6512,2,,,340.84,2.0,0.33,108.0,0.0,,,4,,273.13
172,2017-05-20 00:00:00.0,0.0,0.0,88.72,K6622,4,,,235.15,2.0,0.5,73.0,0.0,34.0,,4,,138.72
173,2017-01-16 00:00:00.0,0.0,0.0,294.4,K6622,15,7.0,539.07,976.87,5.0,0.0,17.0,4.0,26.0,0.0,11,1.0,528.35
174,2017-05-08 00:00:00.0,0.0,0.0,585.15,K6512,27,1.0,,0.0,3.0,0.75,4.0,1.0,54.0,,1,,585.15
175,2017-06-11 00:00:00.0,0.0,0.0,932.44,K6512,6,,39.9,0.0,2.0,0.0,4.0,0.0,26.0,0.0,7,1.0,1020.44
176,2017-06-23 00:00:00.0,0.0,0.0,1555.09,K6512,6,4.0,,512.46,5.0,0.0,4.0,0.0,54.0,,1,,1643.09
177,2017-09-18 00:00:00.0,0.0,0.0,1264.73,K6622,12,,895.9,0.0,3.0,0.08,8.0,0.0,45.0,0.0,6,1.0,1414.73
178,2017-04-13 00:00:00.0,0.0,0.0,30.28,K6512,6,2.0,,0.0,2.0,0.25,4.0,0.0,30.0,,1,,91.28
179,2017-04-22 00:00:00.0,0.0,0.0,808.11,K6622,22,3.0,,0.0,8.0,0.0,12.0,0.0,30.0,,1,,858.11
180,2017-07-09 00:00:00.0,0.0,0.0,430.3,K6622,55,3.0,,1013.05,3.0,0.5,130.0,0.0,48.0,,9,,430.3
181,2017-07-22 00:00:00.0,0.0,0.0,631.44,K6512,56,,,1782.99,5.0,0.0,764.0,0.0,44.0,,4,,631.44
182,2017-09-17 00:00:00.0,1.0,185.82,165.81,K6512,5,1.0,,92.77,4.0,,259.0,1.0,42.0,,1,,185.82
